MF381554.1,9606
GQ502085.1,2945
KC619184.1,1344032
KR665068.1,498655
KY840395.1,355282
GQ502104.1,671127
KR471451.1,1772174
HQ939851.1,1333449
KT606538.1,1687016
KX536554.1,2020022
HQ105101.1,1055513
HQ709035.1,334526
NG_046423.1,9606
KX371310.1,162153
GQ501161.1,65670
HQ708394.1,436079
KT161926.1,104777
EF173184.1,433698
FJ004523.1,36651
MF135912.1,217509
HQ708545.1,289597
GQ501153.1,39455
KU748414.1,332058
KP875597.1,525906
GU722892.1,6087
HQ709021.1,112098
LT906334.1,120297
JQ354705.1,97227
KR650088.1,1881758
AJ511533.1,5478
KY416613.1,13632
KR751260.1,1721110
HQ709029.1,4770
FJ004533.1,5078
KM940395.1,1743448
HQ708268.1,134458
KU374153.1,1790143
KP161679.1,1644014
JQ623983.1,58319
JQ354719.1,97227
KJ639180.1,115421
MG812515.1,9606
KM569758.1,1105568
GQ501683.1,187300
DQ656817.1,392029
EF012611.1,417746
KP902845.1,1707126
LT906353.1,61369
FJ663053.1,122660
JF436973.1,9606
KU363531.1,1857766
HQ012868.1,4788
GU133485.1,907947
KX779595.1,74873
AB617704.1,989992
EU076898.1,231624
KX263471.1,1898046
KR649154.1,1887131
JQ412796.1,1249688
JF414538.1,143453
KT692818.1,241406
KU363556.1,1857766
KF913683.1,884619
LC273545.1,82926
KJ651300.1,210167
EF012605.1,643522
KT692919.1,340183
GQ501788.1,187300
KR665616.1,994293
AF534857.1,188233
MF135889.1,217509
GQ374574.1,659127
KU373711.1,1790143
MF683611.1,2047821
KF650574.1,210010
KP954803.1,1667272
HQ261376.1,4790
DQ910593.1,27468
KC911832.1,216741
KU363524.1,1857766
AP017673.1,29170
EU744586.1,9606
MG168217.1,211085
KP044919.1,1728744
JX969833.1,1265453
KX536582.1,2020050
MG751030.1,9606
KT608084.1,611450
LC215584.1,1957049
EF180483.1,416457
KC250767.1,1278985
LC273530.1,82926
KR426972.1,1881751
KX405005.1,157072
KJ012079.1,1464559
KC750429.1,1395051
KM955929.1,1749728
KR663231.1,1890514
GU945478.1,129351
KT212969.1,113492
LN894888.1,315576
NG_046602.1,9606
KR142517.1,1881805
KT692903.1,115421
KM938728.1,1744492
EU499761.1,468664
HQ708698.1,36331
GQ501234.1,107758
KY556123.1,2035553
KM611572.1,1646103
LC053823.1,6087
EU699021.1,109668
KP965862.1,1194616
KT708260.1,1646076
KX247590.1,707995
HQ708315.1,129354
KM994687.1,1695052
JQ917341.1,231624
KC250752.1,33397
EU636715.1,258474
KJ781451.1,1496607
JQ309212.1,231624
KP462069.1,113492
JQ837673.1,164328
HQ926765.1,818382
JX163958.1,1250333
HQ708865.1,946377
HQ840793.1,69004
JQ309581.1,231624
JQ309313.1,231624
EU499880.1,525905
KP902804.1,302184
KY788498.1,2025991
KT247401.1,295492
KP044301.1,1473629
KM991701.1,1695052
JQ917369.1,231624
KJ781459.1,313558
JN384370.1,69004
KR157437.1,1692406
HQ130228.1,881877
KT110311.1,1473629
KT899379.1,1868015
LC152413.1,1124592
FJ590523.1,450181
AF110164.1,7151
FJ430089.1,392030
KR689984.1,1881773
JN016810.1,1051999
FJ004559.1,69791
GQ890448.1,360688
KT212975.1,113492
GU133465.1,340183
JX153386.1,9606
AY526195.1,7368
HQ105178.1,879759
KR673224.1,1721110
JN378735.1,1079368
MF683610.1,2047821
HQ261455.1,907945
KJ444724.1,1473875
KR697368.1,1887136
KU682598.1,1861851
GU071850.1,36331
MF381957.1,177147
KJ460397.1,1156569
GU908007.1,62324
EF173216.1,104782
AY757944.1,281737
KR656457.1,1890538
KP902778.1,1707123
GU133459.1,53984
AB998877.1,2056925
EU350526.1,105151
KY749501.1,2005554
EU499799.1,360682
HQ317094.1,216741
JQ324832.1,9606
KT692871.1,36331
EF180231.1,36651
HQ261441.1,708009
HQ261251.1,109152
KC618831.1,204738
KM988105.1,1693998
GQ481956.1,9123
EU499785.1,204736
KJ530919.1,1500666
JN625817.1,1079426
KX495781.1,104777
HM406101.1,879779
AC092278.3,9606
JX216666.1,1225255
