KF822623.1,1456804
KR683734.1,1772170
MF381554.1,9606
KJ163281.1,288873
KX840609.1,254294
JQ806810.1,1266482
EU699031.1,109668
KR471451.1,1772174
DQ910707.1,7154
HQ939851.1,1333449
MG164124.1,2062976
KR673007.1,1690325
JQ424649.1,62324
KY207604.1,1354364
JQ912041.1,1191665
KF839970.1,1452903
KU875419.1,60819
KY378938.1,7160
KP252468.1,1653092
AF425841.1,13439
KR588453.1,1692440
KP697244.1,1631364
HQ709035.1,334526
KP719097.1,73501
KR682854.1,1727717
KT692884.1,115416
KR014837.1,185578
KR108297.1,1692217
KX779620.1,74873
KU748414.1,332058
KP875597.1,525906
GU722892.1,6087
HQ709021.1,112098
KR671415.1,1803735
KP042448.1,1380964
KP252299.1,1653092
KT108968.1,1887136
KF839974.1,1452904
KM990292.1,1728590
KM826998.1,1688248
LN897600.1,1751534
KR764213.1,1887114
KP954914.1,1667278
KR672018.1,1890598
KR754792.1,1562018
KR650088.1,1881758
KM963595.1,1694590
KR296558.1,994197
KR683589.1,1727717
KT101792.1,1887102
KT622715.1,1722532
HQ709029.1,4770
KR285665.1,1773884
KX069356.1,1974391
KR602442.1,1807361
KX840628.1,74873
KF930820.1,1459909
DQ913863.1,58242
KR279101.1,1744149
JQ623983.1,58319
KM961679.1,1749432
KR429548.1,1673608
KR613155.1,1881758
KJ639180.1,115421
MG812515.1,9606
KM569758.1,1105568
KM648679.1,1694315
KR286703.1,1744149
DQ910618.1,113494
KP902845.1,1707126
MF498553.1,74873
KP954787.1,1667280
FJ663053.1,122660
KT617513.1,1722821
KC250806.1,33399
JF902289.1,1035909
JQ519839.1,1138461
KX779595.1,74873
KJ157491.1,159643
KT105102.1,1473629
KR716387.1,611481
KF406841.1,7176
AF491690.1,41429
KR649154.1,1887131
JQ412796.1,1249688
AP017979.1,1450758
KR279028.1,1791091
KT100837.1,1266476
GQ482829.1,9187
KP041966.1,1671681
KR658304.1,1887191
MF458811.1,2028029
KM991689.1,1728835
DQ910622.1,113494
HQ860417.1,41428
AF329041.1,34588
KR429481.1,1891146
KR665616.1,994293
KR628518.1,1891105
AB824765.1,28584
MG817370.1,9606
KU900774.1,58253
KJ554875.1,58319
KT110967.1,1889984
KX779755.1,74873
KR505754.1,1881752
LC333246.1,1284620
HQ105020.1,879743
KP954803.1,1667272
KM915044.1,1742142
KP697119.1,1631669
KY844114.1,2000290
DQ910593.1,27468
KR393872.1,1724502
KU215444.1,1316033
KU600521.1,1861797
KJ164719.1,1480318
KR274576.1,1721974
KX779741.1,74873
KR679667.1,1887089
KT705801.1,1722531
KR290603.1,1107016
FJ524627.1,626791
JF287617.1,994296
KJ207975.1,1474510
KR159173.1,1692415
KU497125.1,700372
KU696831.1,30067
KT100904.1,611481
KU566729.1,1912180
KX424720.1,236047
KR285271.1,1791070
JX535731.1,1240856
LC273530.1,82926
KR622296.1,1042858
KX405005.1,157072
